date,value
2024-05-24,6.8
2024-05-25,9.0
2024-05-26,8.4
2024-05-27,7.9
2024-05-28,8.6
2024-05-29,6.5
2024-05-30,9.5
2024-05-31,8.0
2024-06-01,7.6
2024-06-02,8.7
2024-06-03,6.9
2024-06-04,9.1
2024-06-05,8.2
2024-06-06,7.8
2024-06-07,8.8
2024-06-08,6.6
2024-06-09,9.3
2024-06-10,8.5
2024-06-11,7.7
2024-06-12,8.9
2024-06-13,6.7
2024-06-14,9.2
2024-06-15,8.1
2024-06-16,7.5
2024-06-17,8.4
2024-06-18,6.8
2024-06-19,9.0
2024-06-20,8.6
2024-06-21,7.9
2024-06-22,8.3
2024-06-23,6.5
2024-06-24,9.5
2024-06-25,8.0
2024-06-26,7.6
2024-06-27,8.7
2024-06-28,6.9
2024-06-29,9.1
2024-06-30,8.2
2024-07-01,7.8
2024-07-02,8.8
2024-07-03,6.6
2024-07-04,9.4
2024-07-05,8.5
2024-07-06,7.7
2024-07-07,8.9
2024-07-08,6.7
2024-07-09,9.2
2024-07-10,8.1
2024-07-11,7.5
2024-07-12,8.3
2024-07-13,6.8
2024-07-14,9.0
2024-07-15,8.4
2024-07-16,7.9
2024-07-17,8.6
2024-07-18,6.5
2024-07-19,9.5
2024-07-20,8.0
2024-07-21,7.6
2024-07-22,8.7
2024-07-23,6.9
2024-07-24,9.1
2024-07-25,8.2
2024-07-26,7.8
2024-07-27,8.8
2024-07-28,6.6
2024-07-29,9.3
2024-07-30,8.5
2024-07-31,7.7
2024-08-01,8.9
2024-08-02,6.7
2024-08-03,9.2
2024-08-04,8.1
2024-08-05,7.5
2024-08-06,8.4
2024-08-07,6.8
2024-08-08,9.0
2024-08-09,8.6
2024-08-10,7.9
2024-08-11,8.3
2024-08-12,6.5
2024-08-13,9.5
2024-08-14,8.0
2024-08-15,7.6
2024-08-16,8.7
2024-08-17,6.9
2024-08-18,9.1
2024-08-19,8.2
2024-08-20,7.8
2024-08-21,8.8
2024-08-22,6.6
2024-08-23,9.4
2024-08-24,8.5
2024-08-25,7.7
2024-08-26,8.9
2024-08-27,6.7
2024-08-28,9.2
2024-08-29,8.1
2024-08-30,7.5
2024-08-31,8.3
2024-09-01,6.8
2024-09-02,9.0
2024-09-03,8.4
2024-09-04,7.9
2024-09-05,8.6
2024-09-06,6.5
2024-09-07,9.5
2024-09-08,8.0
2024-09-09,7.6
2024-09-10,8.7
2024-09-11,6.9
2024-09-12,9.1
2024-09-13,8.2
2024-09-14,7.8
2024-09-15,8.8
2024-09-16,6.6
2024-09-17,9.3
2024-09-18,8.5
2024-09-19,7.7
2024-09-20,8.9
2024-09-21,6.7
2024-09-22,9.2
2024-09-23,8.1
2024-09-24,7.5
2024-09-25,8.4
2024-09-26,6.8
2024-09-27,9.0
2024-09-28,8.6
2024-09-29,7.9
2024-09-30,8.3
2024-10-01,6.5
2024-10-02,9.5
2024-10-03,8.0
2024-10-04,7.6
2024-10-05,8.7
2024-10-06,6.9
2024-10-07,9.1
2024-10-08,8.2
2024-10-09,7.8
2024-10-10,8.8
2024-10-11,6.6
2024-10-12,9.4
2024-10-13,8.5
2024-10-14,7.7
2024-10-15,8.9
2024-10-16,6.7
2024-10-17,9.2
2024-10-18,8.1
2024-10-19,7.5
2024-10-20,8.3
2024-10-21,6.8
2024-10-22,9.0
2024-10-23,8.4
2024-10-24,7.9
2024-10-25,8.6
2024-10-26,6.5
2024-10-27,9.5
2024-10-28,8.0
2024-10-29,7.6
2024-10-30,8.7
2024-10-31,6.9
2024-11-01,9.1
2024-11-02,8.2
2024-11-03,7.8
2024-11-04,8.8
2024-11-05,6.6
2024-11-06,9.3
2024-11-07,8.5
2024-11-08,7.7
2024-11-09,8.9
2024-11-10,6.7
2024-11-11,9.2
2024-11-12,8.1
2024-11-13,7.5
2024-11-14,8.4
2024-11-15,6.8
2024-11-16,9.0
2024-11-17,8.6
2024-11-18,7.9
2024-11-19,8.3
2024-11-20,6.5
2024-11-21,9.5
2024-11-22,8.0
2024-11-23,7.6
2024-11-24,8.7
2024-11-25,6.9
2024-11-26,9.1
2024-11-27,8.2
2024-11-28,7.8
2024-11-29,8.8
2024-11-30,6.6
2024-12-01,9.4
2024-12-02,8.5
2024-12-03,7.7
2024-12-04,8.9
2024-12-05,6.7
2024-12-06,9.2
2024-12-07,8.1
2024-12-08,7.5
2024-12-09,8.3
2024-12-10,6.8
2024-12-11,9.0
2024-12-12,8.4
2024-12-13,7.9
2024-12-14,8.6
2024-12-15,6.5
2024-12-16,9.5
2024-12-17,8.0
2024-12-18,7.6
2024-12-19,8.7
2024-12-20,6.9
2024-12-21,9.1
2024-12-22,8.2
2024-12-23,7.8
2024-12-24,8.8
2024-12-25,6.6
2024-12-26,9.3
2024-12-27,8.5
2024-12-28,7.7
2024-12-29,8.9
2024-12-30,6.7
2024-12-31,9.2
